Id,Name,logDc/km,LENGTH,slope,solarinso,soils,ag,grass,shrub,hi,lo,dev,forest,pop1,pop2
25,Lyon to Teare,-5.410385886,5143.743961,8.976019455,16321.05197,twelve,0.270833333,0.291666667,0.0625,0,0.3125,0,0.3125,6,17
27,Brink to Teare,-6.125886851,6282.689826,6.786776942,16160.84453,twelve,0.732142857,0.160714286,0,0,0,0.107142857,0,13,17
26,P8 to Teare,-5.674554115,3939.104876,8.603619031,16283.32599,twelve,0.111111111,0.611111111,0,0.138888889,0.138888889,0,0.277777778,15,17
47,LaTr to Tobu,-6.165861745,10471.67188,6.931762122,16194.262,twelve,0.434782609,0.434782609,0,0.043478261,0.043478261,0.043478261,0.086956522,5,18
28,P53 to Tobu,-3.555804025,975.9579164,7.761727377,16083.10407,twelve,0,1,0,0,0,0,0,14,18
29,Teare to Tobu,-4.5791677,3608.51708,9.83702565,15829.99573,twelve,0.325991189,0.444933921,0.022026432,0.008810573,0.193832599,0,0.202643172,17,18
36,Wetw to WWT,-6.016623188,7297.459094,5.092763155,16350.15191,twelve,0.507042254,0.338028169,0,0,0.028169014,0.070422535,0.028169014,7,19
45,Brink to WWT,-5.328857608,4740.873619,2.01494765,16269.36058,twelve,0.073170732,0.146341463,0,0,0,0.756097561,0,13,19
35,Sweet to WWT,-6.783114037,2892.347027,3.027138443,15985.96345,twelve,0.074074074,0.185185185,0,0,0,0.518518519,0,16,19
38,SFork to WWT,-4.115255541,2473.841368,5.698916823,16273.38374,twelve,0.476190476,0.523809524,0,0,0,0,0,20,19
48,Brink to Sfork,-5.58890178,3675.321759,4.058024921,16308.96124,twelve,0.0625,0.25,0,0,0,0.6875,0,13,20
