individual,ecotype,long,lat,ann_mean_temp,mean_diurnal_range,temp_seasonality,ann_precip,precip_seasonality,ndvi,elev,percent_tree_cover
BF_MARCO006.CEL,Pop_2_BorealForest,-117.433,56.233,8,129,11627,397,51,7571,563,7
BF_MARCO017.CEL,Pop_2_BorealForest,-115.25,56.55,-2,125,12535,457,54,8567,546,56
BF_PBG-652.CEL,Pop_2_BorealForest,-94.2,56.45,-45,106,14241,469,48,6863,92,21
BF_PBO-778.CEL,Pop_2_BorealForest,-101.37,54.58,-3,101,13667,474,51,7739,301,3
BF_PBQ-943.CEL,Pop_2_BorealForest,-108.43,54.13,9,127,12677,443,63,6094,479,2
BF_PP4.CEL,Pop_2_BorealForest,-100.073547,50.848189,2,115,12527,531,51,8591,692,53
BF_PP7.CEL,Pop_2_BorealForest,-106.930343,53.962094,3,123,12732,438,57,9453,517,51
BF_WMB03-13.CEL,Pop_2_BorealForest,-102.02,57.08,-36,104,14423,485,48,7488,346,21
CI_UAM24893.CEL,Pop_5_BritishColumbia,-132,55.75,66,69,4925,3036,35,8395,169,75
CI_UAM24979.CEL,Pop_5_BritishColumbia,-134,56.583,36,60,4593,2913,35,8648,487,0
CI_UAM43378.CEL,Pop_5_BritishColumbia,-133.5,56.75,36,64,4955,2427,34,8669,637,40
CI_UAM47418.CEL,Pop_5_BritishColumbia,-132.967505,57.062266,47,71,5851,1960,36,8803,431,27
HA_CB215.CEL,Pop_3_Arctic,-104.353608,68.939125,-40,59,-9999,434,40,0,0,0
HA_CR26.CEL,Pop_4_HighArctic,-71.292181,68.497529,-116,69,11915,224,76,2409,205,0
HA_GF208.CEL,Pop_3_Arctic,-85.42,77.22,-183,62,14801,122,57,0,0,0
HA_GF210.CEL,Pop_3_Arctic,-82.5,75.53,-214,49,14297,309,44,0,0,0
HA_GF44.CEL,Pop_3_Arctic,-84.26,77.19,-181,62,14743,126,58,4950,56,0
HA_HB25.CEL,Pop_4_HighArctic,-77.16475,69.843516,-137,65,13126,194,67,2262,188,0
HA_HW60.CEL,Pop_3_Arctic,-116.071472,71.197435,-151,65,13726,157,63,3668,291,0
HA_HW65.CEL,Pop_3_Arctic,-110.543228,72.538139,-164,61,14165,88,73,0,112,0
HA_II10.CEL,Pop_4_HighArctic,-81.48,70.2,-141,69,13476,228,54,0,53,0
HA_II163.CEL,Pop_4_HighArctic,-85.17,73.03,-141,71,13251,141,71,4032,98,0
HA_KI09.CEL,Pop_4_HighArctic,-69.324519,62.681138,-90,69,11362,383,42,4777,185,0
HA_MARCO126.CEL,Pop_3_Arctic,-114,69.383,-132,72,13897,144,64,4950,56,0
HA_PG67.CEL,Pop_4_HighArctic,-71.106339,65.937813,-101,70,11908,279,55,4115,30,0
HA_SH023.CEL,Pop_3_Arctic,-125.720681,71.983433,-133,58,13333,117,67,4479,18,1
HA_SH035.CEL,Pop_3_Arctic,-116.41939,73.856995,-168,57,13909,117,72,3966,173,0
HA_SHN978-17.CEL,Pop_3_Arctic,-121.925,73.44,-152,55,13318,118,69,4701,87,0
TT_IN9312.CEL,Pop_2_BorealForest,-132.667,68.117,-100,89,15115,232,43,7562,296,3
TT_PBO-887.CEL,Pop_2_BorealForest,-101.482387,58.623417,-59,96,14892,422,51,6300,361,6
TT_TA153.CEL,Pop_3_Arctic,-93.3,69.62,-153,74,15249,143,67,9480,15,0
TT_TU9204.CEL,Pop_1_WestForest,-133.595031,69.506251,-109,70,14425,154,65,5151,6,1
WW_27607.CEL,Pop_1_WestForest,-137.38,60.1,-19,116,9566,702,32,8842,911,31
WW_AK9203.CEL,Pop_1_WestForest,-137.333,68.817,-102,84,13777,228,66,7674,85,1
WW_KNP04.CEL,Pop_1_WestForest,-140.52,65.12,-84,122,14886,265,66,7589,947,39
WW_KNP19.CEL,Pop_1_WestForest,-139.75,60.83,-119,99,8759,683,36,0,3141,0
WW_MP9301.CEL,Pop_2_BorealForest,-134.833,67.667,-87,92,15793,290,36,8217,1,26
WW_NW09.CEL,Pop_1_WestForest,-125.568972,64.902413,-59,99,16021,333,52,7159,17,18
WW_NW32.CEL,Pop_1_WestForest,-126.82,65.27,-56,115,15421,319,49,0,21,39
WW_PMY02.CEL,Pop_1_WestForest,-130.12,61.58,-59,129,12563,483,30,7849,1149,45
WW_PMY03.CEL,Pop_1_WestForest,-135.83,63.58,-39,126,14514,301,49,8095,576,45
WW_PMY04.CEL,Pop_1_WestForest,-135.2,60.9,-19,113,11219,264,43,6540,778,29
WW_PMY09.CEL,Pop_1_WestForest,-128.22,60.08,-34,121,13880,453,32,7892,623,41
WW_PMY41155.CEL,Pop_1_WestForest,-132.13,60.22,-31,118,11117,399,30,7554,1204,41
WW_UAM36555.CEL,Pop_2_BorealForest,-124.25,57.083,-13,108,10316,497,37,8412,1135,26
WW_UAM63745.CEL,Pop_1_WestForest,-147.866,66.316,-49,117,15124,275,54,8116,104,39
WW_UAM87092.CEL,Pop_1_WestForest,-160.764496,67.890492,-80,70,12185,218,69,6308,152,1
WW_UAM87093.CEL,Pop_1_WestForest,-160.808,62.204,-30,85,10989,411,66,7969,195,45
WW_UAM87094.CEL,Pop_1_WestForest,-149.604,68.633,-113,115,14624,225,64,7005,730,1
WW_UAM87939.CEL,Pop_1_WestForest,-155.597,62.956,-34,107,13462,437,54,7268,101,45
WW_UAM87965.CEL,Pop_1_WestForest,-148.04,62.061,-73,98,9352,462,46,3463,1843,0
WW_Y48.CEL,Pop_1_WestForest,-120.92,56.23,18,103,10913,468,45,7903,649,0
