Population,forest.50,forest.100,forest.250,forest.500,forest.1000,population.size
A03,0.353169469598965,0.530552861299709,0.811615978446713,0.880975192915221,0.872317221560607,44
A21,0.603626943005181,0.529126213592233,0.558191370800828,0.613197938677166,0.455321624810823,21
A25,0.36222509702458,0.220064724919094,0.244501940491591,0.290483619344774,0.210688120551225,57
A26,0.494818652849741,0.483818770226537,0.521238524972771,0.477821223263763,0.231441658004158,22
A41,0.684346701164295,0.815917178906503,0.908734862148931,0.796606220634489,0.671782972829534,15
A45,0.382428940568475,0.429727979274611,0.474797084216512,0.402792348240536,0.298890764798714,22
G05a,0.615284974093264,0.410223228728567,0.30463232239302,0.211917614923557,0.281040864255519,46
