1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,23,24,25,26,27,28,29,30,31
0,0.13106,0.24,0.10717,0.11773,0.11482,0.11978,0.22386,0.31478,0.30506,0.26169,0.34715,0.27857,0.39477,0.36995,0.36053,0.29083,0.34259,0.32208,0.39705,0.41417,0.36951,0.44451,0.47939,0.35175,0.39072,0.51191,0.50106,0.43008
0.13106,0,0.15344,0.10157,0.16524,0.14467,0.13044,0.25668,0.27293,0.30683,0.28459,0.35504,0.26397,0.37196,0.36541,0.35676,0.31283,0.31005,0.24993,0.45253,0.41518,0.37476,0.45304,0.46454,0.37366,0.37362,0.49434,0.50797,0.39241
0.24,0.15344,0,0.1875,0.25417,0.27656,0.22935,0.31458,0.35767,0.38631,0.34337,0.44137,0.34524,0.40587,0.40521,0.37579,0.4224,0.36712,0.25417,0.54167,0.48735,0.4862,0.51667,0.45781,0.4375,0.43818,0.50388,0.53165,0.37708
0.10717,0.10157,0.1875,0,0.18065,0.15483,0.12831,0.2191,0.25948,0.26875,0.22184,0.33929,0.23413,0.36887,0.37743,0.32979,0.31647,0.2699,0.20347,0.44643,0.43088,0.39755,0.46875,0.45087,0.38889,0.42681,0.47263,0.54137,0.42292
0.11773,0.16524,0.25417,0.18065,0,0.11089,0.11491,0.26057,0.31374,0.31012,0.29413,0.33393,0.26518,0.36171,0.36771,0.3554,0.31987,0.32218,0.3001,0.45017,0.35466,0.32677,0.39583,0.4623,0.34107,0.41169,0.48235,0.44777,0.34762
0.11482,0.14467,0.27656,0.15483,0.11089,0,0.08381,0.23851,0.27842,0.27074,0.28646,0.29556,0.26167,0.36458,0.38211,0.35632,0.28228,0.33013,0.30192,0.4098,0.37248,0.32394,0.39645,0.46567,0.33234,0.40289,0.49531,0.46864,0.37533
0.11978,0.13044,0.22935,0.12831,0.11491,0.08381,0,0.20123,0.25584,0.25018,0.2339,0.27697,0.22161,0.34542,0.32206,0.33483,0.28888,0.33726,0.27085,0.44867,0.34912,0.32515,0.38756,0.43348,0.32292,0.39383,0.45545,0.44096,0.35018
0.22386,0.25668,0.31458,0.2191,0.26057,0.23851,0.20123,0,0.19543,0.22217,0.16809,0.26949,0.17664,0.29188,0.27708,0.29182,0.31591,0.37556,0.23993,0.55952,0.39815,0.42445,0.42604,0.48068,0.47604,0.55342,0.48131,0.54727,0.42083
0.31478,0.27293,0.35767,0.25948,0.31374,0.27842,0.25584,0.19543,0,0.17788,0.13761,0.27004,0.14518,0.24427,0.25281,0.25374,0.28287,0.39215,0.21583,0.54502,0.34667,0.41034,0.38008,0.51166,0.47949,0.55948,0.47547,0.54239,0.43121
