population	family	longitude	latitude	elev	max_rad	tmax_july	tmin_jan	ann_ppt	gdd_aug	AWS050
jakes	139	-120.1084989	38.9705868	2395	80.41	22.7	-6.8	1218	275	2.75
jakes	140	-120.1084989	38.9705868	2395	80.41	22.7	-6.8	1218	275	2.75
jakes	142	-120.1084989	38.9705868	2395	80.41	22.7	-6.8	1218	275	2.75
jakes	143	-120.1084989	38.9705868	2395	80.41	22.7	-6.8	1218	275	2.75
jakes	144	-120.1084989	38.9705868	2395	80.41	22.7	-6.8	1218	275	2.75
hvn	145	-119.922139	38.94105468	2498	66.25	22.5	-7.4	815	251	3.54
hvn	146	-119.922139	38.94105468	2498	66.25	22.5	-7.4	815	251	3.54
hvn	148	-119.922139	38.94105468	2498	66.25	22.5	-7.4	815	251	3.54
hvn	149	-119.922139	38.94105468	2498	66.25	22.5	-7.4	815	251	3.54
hvn	150	-119.922139	38.94105468	2498	66.25	22.5	-7.4	815	251	3.54
hvn	151	-119.922139	38.94105468	2498	66.25	22.5	-7.4	815	251	3.54
hvn	152	-119.922139	38.94105468	2498	66.25	22.5	-7.4	815	251	3.54
hvn	153	-119.9214438	38.94154062	2507	66.25	22.5	-7.4	815	251	2.02
hvn	154	-119.9214438	38.94154062	2507	66.25	22.5	-7.4	815	251	2.02
hvn	156	-119.9214438	38.94154062	2507	66.25	22.5	-7.4	815	251	2.02
hvn	157	-119.9214438	38.94154062	2507	66.25	22.5	-7.4	815	251	2.02
hvn	158	-119.9214438	38.94154062	2507	66.25	22.5	-7.4	815	251	2.02
hvn	159	-119.9214438	38.94154062	2507	66.25	22.5	-7.4	815	251	2.02
hvn	160	-119.9223161	38.94227544	2438	64.46	22.5	-7.4	815	251	3.54
hvn	161	-119.9223161	38.94227544	2438	64.46	22.5	-7.4	815	251	3.54
hvn	162	-119.9223161	38.94227544	2438	64.46	22.5	-7.4	815	251	3.54
hvn	163	-119.9223161	38.94227544	2438	64.46	22.5	-7.4	815	251	3.54
hvn	164	-119.9223161	38.94227544	2438	64.46	22.5	-7.4	815	251	3.54
hvn	165	-119.9223161	38.94227544	2438	64.46	22.5	-7.4	815	251	3.54
hvn	166	-119.9223161	38.94227544	2438	64.46	22.5	-7.4	815	251	3.54
montreal cyn	168	-119.8895791	39.07220128	2433	60.61	24.3	-6.8	680	316	6.43
montreal cyn	169	-119.8895791	39.07220128	2433	60.61	24.3	-6.8	680	316	6.43
montreal cyn	171	-119.8895791	39.07220128	2433	60.61	24.3	-6.8	680	316	6.43
montreal cyn	173	-119.8895791	39.07220128	2433	60.61	24.3	-6.8	680	316	6.43
montreal cyn	174	-119.8895791	39.07220128	2433	60.61	24.3	-6.8	680	316	6.43
montreal cyn	175	-119.8895791	39.07220128	2433	60.61	24.3	-6.8	680	316	6.43
montreal cyn	176	-119.8895791	39.07220128	2433	60.61	24.3	-6.8	680	316	6.43
montreal cyn	177	-119.8895791	39.07220128	2433	60.61	24.3	-6.8	680	316	6.43
montreal cyn	178	-119.8888558	39.07231837	2440	75.84	24.3	-6.8	680	316	6.43
montreal cyn	180	-119.8888558	39.07231837	2440	75.84	24.3	-6.8	680	316	6.43
montreal cyn	181	-119.8888558	39.07231837	2440	75.84	24.3	-6.8	680	316	6.43
montreal cyn	182	-119.8888558	39.07231837	2440	75.84	24.3	-6.8	680	316	6.43
montreal cyn	183	-119.8888558	39.07231837	2440	75.84	24.3	-6.8	680	316	6.43
montreal cyn	184	-119.8865542	39.07227652	2447	88.36	24.3	-6.9	774	301	6.43
montreal cyn	185	-119.8865542	39.07227652	2447	88.36	24.3	-6.9	774	301	6.43
montreal cyn	186	-119.8865542	39.07227652	2447	88.36	24.3	-6.9	774	301	6.43
montreal cyn	189	-119.8865542	39.07227652	2447	88.36	24.3	-6.9	774	301	6.43
montreal cyn	190	-119.8865542	39.07227652	2447	88.36	24.3	-6.9	774	301	6.43
mt watson	191	-120.1555391	39.22071825	2355	62.72	23.7	-7.2	1035	209	7.37
mt watson	193	-120.1555391	39.22071825	2355	62.72	23.7	-7.2	1035	209	7.37
mt watson	195	-120.1555391	39.22071825	2355	62.72	23.7	-7.2	1035	209	7.37
mt watson	196	-120.1555391	39.22071825	2355	62.72	23.7	-7.2	1035	209	7.37
mt watson	197	-120.1535752	39.22002145	2418	57.22	23.7	-7.2	1035	209	7.37
mt watson	198	-120.1535752	39.22002145	2418	57.22	23.7	-7.2	1035	209	7.37
mt watson	199	-120.1535752	39.22002145	2418	57.22	23.7	-7.2	1035	209	7.37
mt watson	200	-120.1535752	39.22002145	2418	57.22	23.7	-7.2	1035	209	7.37
